service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20120115,20120602
4,0,0,0,0,0,1,0,20120115,20120602
5,0,0,0,0,0,0,1,20120115,20120602
21,0,0,0,0,0,0,0,20120115,20120602
22,0,0,0,0,0,0,0,20120115,20120602
101,0,1,0,1,0,0,0,20120115,20120602
102,0,0,0,0,1,0,0,20120115,20120602
108,1,0,1,0,1,0,0,20120115,20120602
109,0,0,0,1,1,0,0,20120119,20120504
110,0,0,0,0,0,1,0,20120115,20120602
127,1,1,1,1,1,0,0,20120117,20120504
128,0,1,1,0,0,0,0,20120529,20120530
129,1,1,1,1,1,1,0,20120507,20120515
130,0,0,0,1,1,0,0,20120530,20120601
131,1,1,1,1,1,0,0,20120516,20120525
223,1,1,1,1,0,0,0,20120117,20120503
224,0,0,0,0,1,0,0,20120117,20120504
901,0,1,1,1,1,1,0,20120115,20120602
904,0,0,0,0,0,0,1,20120115,20120602
1001,1,1,1,1,1,0,0,20120115,20120602
1101,0,0,0,0,0,0,0,20120115,20120602
1220,0,0,0,0,0,0,0,20120115,20120602
