fare_id,route_id,origin_id,destination_id,contains_id
b,2,,,
b,3,,,
b,4,,,
b,5,,,
b,6,,,
b,7,,,
b,10,,,
b,17,,,
b,18,,,
b,19,,,
b,20,,,
b,21,,,
b,22,,,
b,30,,,
b,37,,,
b,100,,,
b,101,,,
b,103,,,
b,110,,,
b,122,,,
b,127,,,
b,135,,,
b,142,,,
b,151,,,
b,161,,,
b,171,,,
b,201,,,
b,214,,,
b,228,,,
b,240,,,
b,243,,,
b,271,,,
b,300,,,
b,311,,,
b,320,,,
b,323,,,
b,325,,,
b,331,,,
b,333,,,
b,338,,,
b,350,,,
b,383,,,
b,392,,,
b,410,,,
b,411,,,
b,412,,,
b,464,,,
b,465,,,
b,466,,,
b,481,,,
b,482,,,
b,483,,,
b,484,,,
b,485,,,
b,486,,,
b,490,,,
b,499,,,
d,550,,,1
e,550,,,2
f,550,,,1
f,550,,,2
b,640,,,
b,641,,,
b,642,,,
b,651,,,
b,652,,,
b,653,,,
b,656,,,
b,661,,,
b,663,,,
b,670,,,
b,671,,,
b,672,,,
b,675,,,
b,680,,,
b,681,,,
b,684,,,
b,685,,,
c,935,,,
c,970,,,
c,982,,,
c,983,,,
c,985,,,
c,987,,,
c,990,,,
b,1001,,,
b,2001,,,
