route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
2,,2,ROSEWOOD,,3,http://www.capmetro.org/gismaps/maps/2.html,,
3,,3,BURNET/MANCHACA,,3,http://www.capmetro.org/gismaps/maps/3.html,,
4,,4,MONTOPOLIS ,,3,http://www.capmetro.org/gismaps/maps/4.html,,
5,,5,WOODROW/SOUTH 5TH,,3,http://www.capmetro.org/gismaps/maps/5.html,,
6,,6,EAST 12TH,,3,http://www.capmetro.org/gismaps/maps/6.html,,
7,,7,DUVAL / DOVE SPRINGS,,3,http://www.capmetro.org/gismaps/maps/7.html,,
10,,10,SOUTH 1ST/RED RIVER,,3,http://www.capmetro.org/gismaps/maps/10.html,,
17,,17,CESAR CHAVEZ,,3,http://www.capmetro.org/gismaps/maps/17.html,,
18,,18,MARTIN LUTHER KING,,3,http://www.capmetro.org/gismaps/maps/18.html,,
19,,19,BULL CREEK,,3,http://www.capmetro.org/gismaps/maps/19.html,,
20,,20,MANOR RD/RIVERSIDE,,3,http://www.capmetro.org/gismaps/maps/20.html,,
21,,21,EXPOSITION,,3,http://www.capmetro.org/gismaps/maps/21.html,,
22,,22,CHICON,,3,http://www.capmetro.org/gismaps/maps/22.html,,
30,,30,BARTON CREEK SQ ,,3,http://www.capmetro.org/gismaps/maps/30.html,,
37,,37,COLONY PARK/WINDSOR PARK,,3,http://www.capmetro.org/gismaps/maps/37.html,,
100,,100,AIRPORT FLYER,,3,http://www.capmetro.org/gismaps/maps/100.html,,
101,,101,N LAMAR/S CONGRESS LTD,,3,http://www.capmetro.org/gismaps/maps/101.html,,
103,,103,MANCHACA FLYER,,3,http://www.capmetro.org/gismaps/maps/103.html,,
110,,110,SOUTH CENTRAL FLYER,,3,http://www.capmetro.org/gismaps/maps/110.html,,
122,,122,FOUR POINTS LIMITED,,3,http://www.capmetro.org/gismaps/maps/122.html,,
127,,127,DOVE SPRINGS FLYER,,3,http://www.capmetro.org/gismaps/maps/127.html,,
135,,135,DELL LIMITED,,3,http://www.capmetro.org/gismaps/maps/135.html,,
142,,142,METRIC FLYER,,3,http://www.capmetro.org/gismaps/maps/142.html,,
151,,151,ALLANDALE,,3,http://www.capmetro.org/gismaps/maps/151.html,,
161,,161,DELLWOOD,,3,http://www.capmetro.org/gismaps/maps/161.html,,
171,,171,OAK HILL FLYER,,3,http://www.capmetro.org/gismaps/maps/171.html,,
201,,201,SOUTHPARK MEADOWS,,3,http://www.capmetro.org/gismaps/maps/201.html,,
214,,214,NORTHWEST FLEX,,3,http://www.capmetro.org/gismaps/maps/214.html,,
228,,228,BURLESON,,3,http://www.capmetro.org/gismaps/maps/228.html,,
240,,240,RUTLAND,,3,http://www.capmetro.org/gismaps/maps/240.html,,
243,,243,WELLS BRANCH,,3,http://www.capmetro.org/gismaps/maps/243.html,,
271,,271,DEL VALLE FLEX,,3,http://www.capmetro.org/gismaps/maps/271.html,,
300,,300,GOVALLE,,3,http://www.capmetro.org/gismaps/maps/300.html,,
311,,311,STASSNEY,,3,http://www.capmetro.org/gismaps/maps/311.html,,
320,,320,ST JOHNS,,3,http://www.capmetro.org/gismaps/maps/320.html,,
323,,323,ANDERSON,,3,http://www.capmetro.org/gismaps/maps/323.html,,
325,,325,OHLEN,,3,http://www.capmetro.org/gismaps/maps/325.html,,
331,,331,OLTORF,,3,http://www.capmetro.org/gismaps/maps/331.html,,
333,,333,WILLIAM CANNON,,3,http://www.capmetro.org/gismaps/maps/333.html,,
338,,338,LAMAR/45TH,,3,http://www.capmetro.org/gismaps/maps/338.html,,
350,,350,AIRPORT BLVD,,3,http://www.capmetro.org/gismaps/maps/350.html,,
383,,383,RESEARCH,,3,http://www.capmetro.org/gismaps/maps/383.html,,
392,,392,BRAKER,,3,http://www.capmetro.org/gismaps/maps/392.html,,
