route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
2001,4,1127462,SOUTHBOUND,0,001-90,29086
2001,4,1127463,SOUTHBOUND,0,001-90,29086
2001,4,1127464,SOUTHBOUND,0,001-90,29086
2001,4,1127465,SOUTHBOUND,0,001-91,29086
2001,4,1127466,SOUTHBOUND,0,001-91,29086
2001,4,1127467,SOUTHBOUND,0,001-91,29086
2001,21,1144949,SOUTHBOUND,0,001-90,29086
2001,21,1144950,SOUTHBOUND,0,001-90,29086
2001,21,1144951,SOUTHBOUND,0,001-90,29086
2001,21,1144952,SOUTHBOUND,0,001-91,29086
2001,21,1144953,SOUTHBOUND,0,001-91,29086
2001,21,1144954,SOUTHBOUND,0,001-91,29086
1001,4,1127531,NORTHBOUND,1,001-90,29099
1001,4,1127532,NORTHBOUND,1,001-90,29099
1001,4,1127533,NORTHBOUND,1,001-91,29099
1001,4,1127534,NORTHBOUND,1,001-91,29099
1001,21,1145018,NORTHBOUND,1,001-90,29099
1001,21,1145019,NORTHBOUND,1,001-90,29099
1001,21,1145020,NORTHBOUND,1,001-91,29099
1001,21,1145021,NORTHBOUND,1,001-91,29099
10,1,1127836,SOUTHBOUND,0,003-91,29100
10,1,1127837,SOUTHBOUND,0,003-91,29100
10,1,1127838,SOUTHBOUND,0,003-09,29100
10,1,1127839,SOUTHBOUND,0,003-11,29100
10,1,1127840,SOUTHBOUND,0,003-13,29100
10,1,1127841,SOUTHBOUND,0,003-90,29100
10,1,1127842,SOUTHBOUND,0,003-04,29100
10,1,1127843,SOUTHBOUND,0,003-16,29100
10,1,1127844,SOUTHBOUND,0,003-08,29100
10,1,1127845,SOUTHBOUND,0,003-12,29100
10,1,1127846,SOUTHBOUND,0,003-03,29100
10,1,1127847,SOUTHBOUND,0,003-14,29100
10,1,1127848,SOUTHBOUND,0,003-17,29100
10,1,1127849,SOUTHBOUND,0,003-02,29100
10,1,1127850,SOUTHBOUND,0,003-15,29100
10,1,1127851,SOUTHBOUND,0,003-11,29100
10,1,1127852,SOUTHBOUND,0,003-04,29100
10,1,1127853,SOUTHBOUND,0,003-02,29100
10,1,1127854,SOUTHBOUND,0,003-13,29100
10,1,1127855,SOUTHBOUND,0,003-09,29100
10,1,1127856,SOUTHBOUND,0,003-01,29100
10,1,1127857,SOUTHBOUND,0,003-16,29100
10,1,1127858,SOUTHBOUND,0,003-08,29100
10,1,1127859,SOUTHBOUND,0,003-12,29100
10,1,1127860,SOUTHBOUND,0,003-07,29100
10,1,1127861,SOUTHBOUND,0,003-17,29100
10,1,1127862,SOUTHBOUND,0,003-02,29100
10,1,1127863,SOUTHBOUND,0,003-10,29100
10,1,1127864,SOUTHBOUND,0,003-05,29100
10,1,1127865,SOUTHBOUND,0,003-30,29100
10,1,1127866,SOUTHBOUND,0,003-10,29100
10,1,1127867,SOUTHBOUND,0,003-06,29100
10,1,1127868,SOUTHBOUND,0,003-14,29100
10,1,1127869,SOUTHBOUND,0,003-15,29100
10,1,1127870,SOUTHBOUND,0,003-03,29100
10,1,1127871,SOUTHBOUND,0,003-01,29101
10,1,1127872,SOUTHBOUND,0,003-06,29100
10,1,1127873,SOUTHBOUND,0,003-92,29100
10,1,1127874,SOUTHBOUND,0,003-93,29100
10,1,1127875,SOUTHBOUND,0,003-01,29100
10,1,1127876,SOUTHBOUND,0,003-05,29100
10,1,1127877,SOUTHBOUND,0,003-04,29100
10,1,1127878,SOUTHBOUND,0,003-10,29100
10,1,1127879,SOUTHBOUND,0,003-05,29100
10,1,1127880,SOUTHBOUND,0,003-94,29100
10,1,1127881,SOUTHBOUND,0,003-90,29100
10,4,1127925,SOUTHBOUND,0,003-10,29100
10,4,1127926,SOUTHBOUND,0,003-01,29100
10,4,1127927,SOUTHBOUND,0,003-04,29100
10,4,1127928,SOUTHBOUND,0,003-09,29100
10,4,1127929,SOUTHBOUND,0,003-13,29100
10,4,1127930,SOUTHBOUND,0,003-12,29100
