route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
10555,,  1,SO.MIAMI HTS-PERRINE VIA SOUTHLAND,,3,,FF00FF,000000
10556,,  2,CBD TO 163ST SH. CTR VIA NW 2AVE,,3,,008000,000000
10557,,  3,AVENTURA MALL-CBD VIA BISC.BLVD.,,3,,008000,000000
10558,,  6,CENT.PLAZA-ROUND TOWERS VIA CBD,,3,,808000,000000
11273,,  7,CBD-DOLPHIN MALL/AIRPORT VIA NW 7ST,,3,,FF0000,000000
10560,,  8,CBD-107AV/WESTCHESTER VIA SW 8ST,,3,,FF00FF,000000
10561,,  9,AVENTURA - CBD VIA NE 6 & 2 AVE,,3,,00FF00,000000
10562,, 10,SKYLAKE - OMNI - VIA NE12 & 2AVE,,3,,808000,000000
10563,, 11,FIU-CBD via Flagler Street,,3,,008000,000000
10564,, 12,NORTHSIDE - MERCY HOSP.,,3,,FF00FF,000000
10565,, 16,163ST-OMNI VIA NE16AV & BISC.BLVD,,3,,808040,000000
10566,, 17,NORWOOD - VIZCAYA VIA NW-SW17AVE,,3,,008040,000000
10567,, 19,163 ST MALL-MDC NORTH,,3,,FF8000,000000
10568,, 21,NORTHSIDE - CBD,,3,,00FFFF,000000
10569,, 22,163ST.SH.CTR-COCOGROVE VIA 22AVE,,3,,FF00FF,000000
10570,, 24,WEST DADE TO CBD - VIA CORAL WAY,,3,,00FF00,000000
10571,, 27,COCOGROVE-CALDER VIA NW 27 AVE,,3,,FF0000,000000
10572,, 29,Hialeah Triangle-Miami Lakes,,3,,00FFFF,000000
10573,, 31,BUSWAY LOCAL CUTLER BAY-DADELAND SO,,3,,FF8080,000000
10574,, 32,MIAMI GRDNS-OMNI VIA NW 32 AVE-20ST,,3,,FF8000,000000
10575,, 33,HIA GRDNS-BISC BLVD VIA 49/103 ST,,3,,808000,000000
10576,, 34,Busway Flyer-Fla City-Dadeland So,,3,,FF0000,000000
10577,, 35,MDC KENDALL-FLA.CITY VIA CUTLER BAY,,3,,FF00FF,000000
10578,, 36,DOLPHIN-DORAL-MIA.SPGS-VIA NW 36 ST,,3,,FF8040,000000
10579,, 37,HIALEAH-SO.MIAMI VIA PALM/37 AVE,,3,,A0A0A4,000000
10580,, 38,BUSWAY MAX:FLA CITY-DADELAND SO.,,3,,804040,000000
10581,, 40,BIRD RD/152 AVE--DOUGLAS RD STAT,,3,,FF00FF,000000
10582,, 42,DGLS RD-MIA SPRGS/OPALOCKA TRI-RAIL,,3,,FF0000,000000
10583,, 46,LIBERTY CITY CONNECTION,,3,,008080,000000
10584,, 48,BRICKELL-UNIV. STA. VIA S. BAYSHORE,,3,,FF00FF,000000
10586,, 51,FLAGLER MAX: WEST DADE-CBD,,3,,008000,000000
10587,, 52,GOULDS - DADELAND NORTH STATION,,3,,00FF00,000000
10588,, 54,HIALEAH GRDNS-BISC BLVD VIA 54 ST,,3,,FF0000,000000
10589,, 56,CHLD HOSP-MDC KEND/162 AV-VIA 56 ST,,3,,FFFF00,000000
