stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1,115AQRSN,SW 114 AV@QUAIL ROOST DR,SW 107TH AVE & SW 112TH ST,25.592446,-80.377954,,,,
2,CTLRTERW,SW 211 ST@OP S DADE GOVT CTR,,25.571949,-80.366648,,,,
3,SHCTPERN,US 1@SW 174 ST,,25.608124,-80.347631,,,,
4,152SBSWN,BUSWAY@SW 152 ST,,25.628291,-80.341621,,,,
5,136SBSWN,BUSWAY@SW 136 ST,,25.644519,-80.334092,,,,
6,DADLSOUT,DADELAND SOUTH STA@9150 DADELAND BD,,25.685035,-80.313665,,,,
7,DADLNORT,DADELAND N STATION@BUS STOP AREA,,25.691337,-80.305895,,,,
10,136SBSWS,BUSWAY@SW 136 ST,,25.644544,-80.334261,,,,
11,152SBSWS,BUSWAY@SW 152 ST,,25.62821,-80.341854,,,,
13,CTLRTERE,SW 211 ST@SW 107 AV,,25.571932,-80.365829,,,,
16,NMAV167S,N MIAMI AV@NW 167 ST,,25.92741,-80.200367,,,,
17,119SMIAS,N MIAMI AV@NW 119 ST,,25.885099,-80.198518,,,,
18,84STNE2S,NE 2 AV@NE 84 ST,,25.852506,-80.193067,,,,
19,NW2A79SS,NW 2 AV@NW 79 ST,,25.846865,-80.201053,,,,
20,NW2A36SS,NW 2 AV@NW 35 ST,,25.809733,-80.199471,,,,
22,MDCCDNTT,NE 1 AV@NE 4 ST,,25.777782,-80.191912,,,,
24,OVERTOWT,OVERTOWN STA@550 NW 1 AV,,25.77994,-80.19606,,,,
25,NW2A36SN,NW 2 AV@NW 35 ST,,25.809888,-80.199301,,,,
26,NW2A79SN,NW 2 AV@NW 79 ST,,25.846698,-80.20087,,,,
27,84STNE2N,NE 84 ST@NE 2 AV,,25.852353,-80.193231,,,,
28,119SMIAN,N MIAMI AV@NE 119 ST,,25.884687,-80.198307,,,,
29,NMAV167N,NE 167 ST@N MIAMI AV,,25.927942,-80.199976,,,,
30,167STERT,NE 167 ST@NE 15 AV,NE 167TH ST,25.929251,-80.170447,,,,
31,DIPLMALT,HALLANDALE BEACH BD@NE 14 AV,,25.986013,-80.133876,,,,
32,B.B.209S,BISCAYNE BD@NE 209 ST,,25.969326,-80.144565,,,,
34,AVENMALT,AVENTURA MALL@FOOD COURT ENTRANCE,PARKING LOT,25.958104,-80.143242,,,,
35,163SBISS,BISCAYNE BD@NE 163 ST,,25.925406,-80.154255,,,,
36,B.B.123S,BISCAYNE BD@NE 123 ST,,25.889105,-80.163964,,,,
37,B.B.79SS,BISCAYNE BD@NE 79 ST,,25.848265,-80.184744,,,,
38,B.B.36SS,BISCAYNE BD@NE 36 ST,,25.811274,-80.189528,,,,
39,OMNITERT,OMNITERT,OMNI BUS TERMINAL & NE 15 ST/BISCAYNE,25.789235,-80.188301,,,,
40,CBD.TERT,CBD TERMINAL@SW 1 AV OP FEDERAL B,,25.773663,-80.195796,,,,
42,OMNITERN,BISCAYNE BD@NE 15 ST,,25.789263,-80.188995,,,,
43,B.B.36SN,BISCAYNE BD@NE 36 ST,BISCAYNE BLVD & I 195,25.811461,-80.189342,,,,
44,B.B.79SN,BISCAYNE BD@NE 79 ST,,25.84815,-80.184514,,,,
45,B.B.123N,BISCAYNE BD@NE 123 ST,,25.889044,-80.163695,,,,
46,163SBISN,BISCAYNE BLVD@NE 156 ST,,25.926117,-80.153734,,,,
48,YAHTCLUN,E COUNTRY CLUB DR@YACHT CLUB WY,,25.956407,-80.130295,,,,
49,B.B.209N,BISCAYNE BD@NE 209 ST,,25.968846,-80.14443,,,,
55,36STLEJE,NW 36 ST@NW 42 AV,,25.808277,-80.26403,,,,
56,MIA.TERT,MIA@LOWER LEVEL RAMP,,25.795179,-80.27803,,,,
57,42AVNW7E,NW 7 ST@NW 42 AV,,25.778623,-80.263333,,,,
58,NW7S22AE,NW 7 ST@NW 22 AV,,25.779593,-80.231536,,,,
59,SW1S1CRE,SW 1 ST@SW 1 CT,,25.773176,-80.196472,,,,
60,MDCCDNTE,MDCC Downtown Campus,,25.777782,-80.191913,,,,
61,MDCCDNTW,MDCC Downtown Campus,NE 1ST AVE & NE 4TH ST,25.778131,-80.191984,,,,
63,NW7S22AW,NW 7 ST@NW 22 AV,,25.779801,-80.230906,,,,
64,42AVNW7W,NW 7 ST@NW 42 AV,,25.778814,-80.264598,,,,
66,36STLEJW,NW 36 ST@COOLIDGE DR,,25.808483,-80.265315,,,,
71,UNIVSTAT,UNIVERSITY STA@5000 PONCE DE LEON B,,25.714902,-80.27718,,,,
73,SW8S87AE,SW 8 ST@SW 87 AV,,25.761736,-80.337521,,,,
74,SW8S57AE,SW 8 ST@SW 57 AV,,25.763467,-80.288412,,,,
75,SW8S42AE,SW 8 ST@SW 42 AV,,25.764354,-80.262575,,,,
76,SW8S27AE,SW 8 ST@SW 27 AV,,25.765071,-80.239374,,,,
77,SW8S12AE,SW 8 ST@SW 12 AV,,25.765786,-80.214104,,,,
78,BRKLSTAT,BRICKELL STATION@SW 1 AV (EAST SIDE,BRICKELL STATION & SW 1 AV (EAST SIDE),25.764317,-80.195318,,,,
80,BRKLSTAW,Brickell Station,,25.76382,-80.195462,,,,
81,SW7S12AW,SW 7 ST@SW 12 AV,,25.766821,-80.214266,,,,
82,SW8S27AW,SW 8 ST@SW 27 AV,,25.765246,-80.239216,,,,
83,SW8S42AW,SW 8 ST@SW 42 AV,,25.764535,-80.263015,,,,
84,SW8S57AW,SW 8 ST@SW 57 AV,,25.763671,-80.287442,,,,
85,SW8S87AW,SW 8 ST@SW 87 AV,,25.762125,-80.337355,,,,
88,6AVE125S,NE 6 AV@NE 124 ST,,25.889678,-80.186527,,,,
89,NE2A79SS,NE 2 AV@NE 79 ST,,25.847193,-80.19288,,,,
90,2AVE36SS,NE 2 AV@NE 37 ST,,25.811225,-80.191414,,,,
91,2AVE36SN,NE 2 AV@APPROX # 3699(37 ST),,25.811188,-80.19119,,,,
92,NE2A79SN,NE 2 AV@NE 79 ST,,25.847818,-80.19273,,,,
