service_id,date,exception_type
2.329,20120328,1
7.329,20120328,1
A.329,20120328,1
W.329,20120328,1
p.329,20120328,1
2.329,20120329,1
7.329,20120329,1
A.329,20120329,1
W.329,20120329,1
p.329,20120329,1
2.329,20120330,1
7.329,20120330,1
A.329,20120330,1
P.329,20120330,1
W.329,20120330,1
8.329,20120331,1
B.329,20120331,1
S.329,20120331,1
m.329,20120331,1
C.330,20120401,1
U.330,20120401,1
2.330,20120402,1
7.330,20120402,1
A.330,20120402,1
W.330,20120402,1
e.330,20120402,1
p.330,20120402,1
2.330,20120403,1
7.330,20120403,1
A.330,20120403,1
W.330,20120403,1
e.330,20120403,1
p.330,20120403,1
2.330,20120404,1
7.330,20120404,1
A.330,20120404,1
W.330,20120404,1
e.330,20120404,1
p.330,20120404,1
2.330,20120405,1
7.330,20120405,1
A.330,20120405,1
W.330,20120405,1
e.330,20120405,1
p.330,20120405,1
2.330,20120406,1
7.330,20120406,1
A.330,20120406,1
P.330,20120406,1
W.330,20120406,1
e.330,20120406,1
8.330,20120407,1
B.330,20120407,1
S.330,20120407,1
o.330,20120407,1
C.330,20120408,1
U.330,20120408,1
2.330,20120409,1
7.330,20120409,1
A.330,20120409,1
W.330,20120409,1
e.330,20120409,1
p.330,20120409,1
2.330,20120410,1
7.330,20120410,1
A.330,20120410,1
W.330,20120410,1
e.330,20120410,1
p.330,20120410,1
2.330,20120411,1
7.330,20120411,1
A.330,20120411,1
W.330,20120411,1
e.330,20120411,1
p.330,20120411,1
2.330,20120412,1
7.330,20120412,1
A.330,20120412,1
W.330,20120412,1
e.330,20120412,1
p.330,20120412,1
2.330,20120413,1
7.330,20120413,1
A.330,20120413,1
P.330,20120413,1
W.330,20120413,1
8.330,20120414,1
B.330,20120414,1
S.330,20120414,1
C.330,20120415,1
U.330,20120415,1
2.330,20120416,1
7.330,20120416,1
A.330,20120416,1
W.330,20120416,1
e.330,20120416,1
p.330,20120416,1
2.330,20120417,1
7.330,20120417,1
A.330,20120417,1
W.330,20120417,1
e.330,20120417,1
p.330,20120417,1
2.330,20120418,1
7.330,20120418,1
A.330,20120418,1
W.330,20120418,1
e.330,20120418,1
p.330,20120418,1
2.330,20120419,1
7.330,20120419,1
A.330,20120419,1
W.330,20120419,1
e.330,20120419,1
p.330,20120419,1
2.330,20120420,1
7.330,20120420,1
A.330,20120420,1
P.330,20120420,1
W.330,20120420,1
e.330,20120420,1
8.330,20120421,1
B.330,20120421,1
S.330,20120421,1
o.330,20120421,1
C.330,20120422,1
U.330,20120422,1
2.330,20120423,1
7.330,20120423,1
A.330,20120423,1
W.330,20120423,1
e.330,20120423,1
p.330,20120423,1
2.330,20120424,1
7.330,20120424,1
A.330,20120424,1
W.330,20120424,1
e.330,20120424,1
p.330,20120424,1
2.330,20120425,1
7.330,20120425,1
A.330,20120425,1
W.330,20120425,1
e.330,20120425,1
p.330,20120425,1
2.330,20120426,1
7.330,20120426,1
A.330,20120426,1
W.330,20120426,1
e.330,20120426,1
p.330,20120426,1
2.330,20120427,1
7.330,20120427,1
A.330,20120427,1
P.330,20120427,1
W.330,20120427,1
e.330,20120427,1
8.330,20120428,1
B.330,20120428,1
S.330,20120428,1
C.330,20120429,1
U.330,20120429,1
2.330,20120430,1
7.330,20120430,1
A.330,20120430,1
W.330,20120430,1
e.330,20120430,1
p.330,20120430,1
2.330,20120501,1
7.330,20120501,1
A.330,20120501,1
W.330,20120501,1
e.330,20120501,1
p.330,20120501,1
2.330,20120502,1
7.330,20120502,1
A.330,20120502,1
W.330,20120502,1
e.330,20120502,1
p.330,20120502,1
2.330,20120503,1
7.330,20120503,1
A.330,20120503,1
W.330,20120503,1
e.330,20120503,1
p.330,20120503,1
2.330,20120504,1
7.330,20120504,1
A.330,20120504,1
P.330,20120504,1
W.330,20120504,1
e.330,20120504,1
8.330,20120505,1
B.330,20120505,1
K.330,20120505,1
S.330,20120505,1
o.330,20120505,1
C.330,20120506,1
U.330,20120506,1
k.330,20120506,1
2.330,20120507,1
7.330,20120507,1
A.330,20120507,1
W.330,20120507,1
e.330,20120507,1
p.330,20120507,1
2.330,20120508,1
7.330,20120508,1
A.330,20120508,1
W.330,20120508,1
e.330,20120508,1
p.330,20120508,1
2.330,20120509,1
7.330,20120509,1
A.330,20120509,1
W.330,20120509,1
e.330,20120509,1
p.330,20120509,1
2.330,20120510,1
7.330,20120510,1
A.330,20120510,1
W.330,20120510,1
e.330,20120510,1
p.330,20120510,1
2.330,20120511,1
7.330,20120511,1
A.330,20120511,1
P.330,20120511,1
W.330,20120511,1
e.330,20120511,1
8.330,20120512,1
B.330,20120512,1
K.330,20120512,1
S.330,20120512,1
C.330,20120513,1
U.330,20120513,1
k.330,20120513,1
2.330,20120514,1
7.330,20120514,1
A.330,20120514,1
W.330,20120514,1
e.330,20120514,1
p.330,20120514,1
2.330,20120515,1
7.330,20120515,1
A.330,20120515,1
W.330,20120515,1
e.330,20120515,1
p.330,20120515,1
2.330,20120516,1
7.330,20120516,1
A.330,20120516,1
W.330,20120516,1
e.330,20120516,1
p.330,20120516,1
2.330,20120517,1
7.330,20120517,1
A.330,20120517,1
W.330,20120517,1
e.330,20120517,1
p.330,20120517,1
2.330,20120518,1
7.330,20120518,1
A.330,20120518,1
P.330,20120518,1
W.330,20120518,1
e.330,20120518,1
8.330,20120519,1
B.330,20120519,1
K.330,20120519,1
S.330,20120519,1
C.330,20120520,1
U.330,20120520,1
k.330,20120520,1
l.330,20120520,1
2.330,20120521,1
7.330,20120521,1
A.330,20120521,1
W.330,20120521,1
e.330,20120521,1
p.330,20120521,1
2.330,20120522,1
7.330,20120522,1
A.330,20120522,1
W.330,20120522,1
e.330,20120522,1
p.330,20120522,1
2.330,20120523,1
7.330,20120523,1
A.330,20120523,1
W.330,20120523,1
e.330,20120523,1
p.330,20120523,1
2.330,20120524,1
7.330,20120524,1
A.330,20120524,1
W.330,20120524,1
e.330,20120524,1
p.330,20120524,1
2.330,20120525,1
7.330,20120525,1
A.330,20120525,1
P.330,20120525,1
W.330,20120525,1
e.330,20120525,1
8.330,20120526,1
B.330,20120526,1
K.330,20120526,1
S.330,20120526,1
m.330,20120526,1
C.330,20120527,1
U.330,20120527,1
V.330,20120527,1
k.330,20120527,1
X.330,20120528,1
2.330,20120529,1
7.330,20120529,1
A.330,20120529,1
W.330,20120529,1
e.330,20120529,1
p.330,20120529,1
t.330,20120529,1
2.330,20120530,1
7.330,20120530,1
A.330,20120530,1
W.330,20120530,1
e.330,20120530,1
p.330,20120530,1
t.330,20120530,1
2.330,20120531,1
7.330,20120531,1
A.330,20120531,1
W.330,20120531,1
e.330,20120531,1
p.330,20120531,1
t.330,20120531,1
2.330,20120601,1
7.330,20120601,1
A.330,20120601,1
P.330,20120601,1
W.330,20120601,1
e.330,20120601,1
t.330,20120601,1
8.330,20120602,1
B.330,20120602,1
K.330,20120602,1
S.330,20120602,1
r.330,20120602,1
9.328,20120603,1
C.328,20120603,1
U.328,20120603,1
2.328,20120604,1
7.328,20120604,1
A.328,20120604,1
W.328,20120604,1
e.328,20120604,1
p.328,20120604,1
2.328,20120605,1
7.328,20120605,1
A.328,20120605,1
W.328,20120605,1
e.328,20120605,1
p.328,20120605,1
2.328,20120606,1
7.328,20120606,1
A.328,20120606,1
W.328,20120606,1
e.328,20120606,1
j.328,20120606,1
p.328,20120606,1
2.328,20120607,1
7.328,20120607,1
A.328,20120607,1
W.328,20120607,1
e.328,20120607,1
p.328,20120607,1
2.328,20120608,1
7.328,20120608,1
A.328,20120608,1
P.328,20120608,1
W.328,20120608,1
e.328,20120608,1
8.328,20120609,1
B.328,20120609,1
R.328,20120609,1
S.328,20120609,1
9.328,20120610,1
C.328,20120610,1
U.328,20120610,1
2.328,20120611,1
7.328,20120611,1
A.328,20120611,1
W.328,20120611,1
e.328,20120611,1
p.328,20120611,1
2.328,20120612,1
7.328,20120612,1
A.328,20120612,1
W.328,20120612,1
e.328,20120612,1
p.328,20120612,1
2.328,20120613,1
7.328,20120613,1
A.328,20120613,1
W.328,20120613,1
e.328,20120613,1
p.328,20120613,1
2.328,20120614,1
7.328,20120614,1
A.328,20120614,1
W.328,20120614,1
p.328,20120614,1
2.328,20120615,1
7.328,20120615,1
A.328,20120615,1
P.328,20120615,1
W.328,20120615,1
8.328,20120616,1
B.328,20120616,1
S.328,20120616,1
9.328,20120617,1
C.328,20120617,1
U.328,20120617,1
2.328,20120618,1
7.328,20120618,1
A.328,20120618,1
W.328,20120618,1
p.328,20120618,1
2.328,20120619,1
7.328,20120619,1
A.328,20120619,1
W.328,20120619,1
p.328,20120619,1
2.328,20120620,1
7.328,20120620,1
A.328,20120620,1
W.328,20120620,1
p.328,20120620,1
2.328,20120621,1
7.328,20120621,1
A.328,20120621,1
W.328,20120621,1
p.328,20120621,1
2.328,20120622,1
7.328,20120622,1
A.328,20120622,1
P.328,20120622,1
W.328,20120622,1
8.328,20120623,1
B.328,20120623,1
S.328,20120623,1
9.328,20120624,1
C.328,20120624,1
L.328,20120624,1
U.328,20120624,1
2.328,20120625,1
7.328,20120625,1
A.328,20120625,1
W.328,20120625,1
p.328,20120625,1
2.328,20120626,1
7.328,20120626,1
A.328,20120626,1
W.328,20120626,1
p.328,20120626,1
